"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Name","Correlation_ID"
s,ms,,,,,,,,KB,B,,,,,
11.898125,11.536628,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1052
11.909662,10.814649,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1053
11.920478,10.819417,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1054
11.931298,10.811385,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1055
11.942110,10.811353,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1056
11.952923,10.824345,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1057
11.963748,10.908280,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1058
11.974657,11.599636,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1059
11.986257,11.585076,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1060
11.997844,11.582932,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1061
12.009427,11.586516,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1062
12.021015,11.576148,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1063
12.032592,11.584948,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1064
12.044178,11.550580,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1065
12.055729,11.582996,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1066
